Our list of product,,,,,,,,,,,oracele ko list,,
120,PINEAPPLE NEPAL FRUITS 1,BM9037,2030,#N/A,1,FRESH,LONG FRUITS,Active,,,BEMARA FRUITS   1 ,BM58552,1145
121,PINEAPPLE 2032 FRUITS 1,BM9039,2032,96,1,FRESH,LONG FRUITS,Active,,,WATERMEON GREEN FRUITS   10 ,BM9074,2067
122,KIWI FRUIT NEPAL FRUITS 1,BM9040,2033,#N/A,1,FRESH,LONG FRUITS,Inactive,,,RED APPLE USA FRUITS   5 ,BM9013,2006
123,KIWI NEWZEALAND FRUITS 1,BM9041,2034,#N/A,1,FRESH,LONG FRUITS,Active,,,LITCHI INDIA FRUITS   1 ,BM9026,2019
124,KIWI AUSTRALIA FRUITS 1,BM9042,2035,#N/A,1,FRESH,LONG FRUITS,Active,,,APPLE GOLDEN FRUITS   10 ,BM9012,2005
125,KIWI FRUITS 1,BM9043,2036,#N/A,1,FRESH,LONG FRUITS,Active,,,APPLE JHOLE CHAINA FRUITS   10 ,BM13342,2111
126,POMEGRANATE RED INDIA FRUITS 5,BM9045,2038,127,5,FRESH,LONG FRUITS,Active,,,APPLE CHINA FRUITS   10 ,BM9009,2002
127,POMEGRANATE RED FRUITS 1,BM9046,2039,#N/A,1,FRESH,LONG FRUITS,Active,,,POMEGRANATE RED INDIA FRUITS   5 ,BM9045,2038
128,POMEGRANATE WHITE NEPAL FRUITS 1,BM9047,2040,#N/A,1,FRESH,LONG FRUITS,Active,,,MANGO DASHARI FRUITS   10 ,BM9065,2058
129,PREMIUM ORANGE NEPAL FRUITS 10,BM64537,2043,117,10,FRESH,LONG FRUITS,Active,,,GRAPES FLAME RED FRUITS   2 ,BM9070,2063
130,ORANGE INDIA FRUITS 10,BM9051,2044,#N/A,10,FRESH,LONG FRUITS,Inactive,,,MANGO MALDA FRUITS   10 ,BM9063,2056
131,ORANGE 2045 FRUITS 10,BM9052,2045,#N/A,10,FRESH,LONG FRUITS,Inactive,,,MANGO MALDA(D) FRUITS   1 ,BM20210,8077
132,MANDARIN FRUITS 20,BM9053,2046,102,20,FRESH,LONG FRUITS,Active,,,PAPAYA INDIA FRUITS   6 ,BM9055,2048
133,PAPAYA INDIA FRUITS 6,BM9055,2048,132,6,FRESH,SOFT FRUITS,Active,,,MANGO BOMBAY FRUITS   1 ,BM20229,8096
134,PAPAYA 1,BM9056,2049,#N/A,1,FRESH,LONG FRUITS,Active,,,MANGO ASSORTED    1 ,BM12094,2103
135,MAUSAM NEPAL 1,BM9057,2050,#N/A,1,FRESH,LONG FRUITS,Active,,,STRAWBERRY NEPAL FRUITS   1 ,BM9022,2015
136,MAUSAM INDIA FRUITS 5,BM9058,2051,86,5,FRESH,LONG FRUITS,Active,,,I.L.D KESHARI MANGO I.L.D   1 ,BM68605,100
137,BANANA NEPAL FRUITS 1,BM9060,2053,#N/A,1,FRESH,LONG FRUITS,Active,,,STRAWBERRY 2016 FRUITS   1 ,BM9023,2016
138,BANANA GREEN BIG FRUITS 12,BM9061,2054,45,12,FRESH,SOFT FRUITS,Active,,,MANGO MALDA PREMIUM FRUITS   1 ,BM63138,2345
139,BANANA SMALL FRUITS 12,BM9062,2055,46,12,FRESH,SOFT FRUITS,Active,,,I.L.D GRAPES GREEN I.L.D   1 ,BM68242,129
140,MANGO MALDA FRUITS 10,BM9063,2056,130,10,FRESH,SOFT FRUITS,Active,,,PLUMS RED FRUITS   5 ,BM9083,2076
141,MANGO DASHARI FRUITS 10,BM20238,2058,128,10,FRESH,SOFT FRUITS,Active,,,LITCHI FRUITS   2 ,BM9027,2020
142,MANGO GREEN FRUITS 1,BM9066,2059,#N/A,1,FRESH,LONG FRUITS,Active,,,KESHARI MANGO FRUITS   1 ,BM20156,8023
143,GRAPES GREEN FRUITS 5,BM9067,2060,144,5,FRESH,SOFT FRUITS,Active,,,GRAPES BLACK FRUITS   5 ,BM9068,2061
144,GRAPES BLACK FRUITS 5,BM9068,2061,143,5,FRESH,SOFT FRUITS,Active,,,GRAPES GREEN FRUITS   5 ,BM9067,2060
145,GRAPES WHITE FRUITS 1,BM9069,2062,105,1,FRESH,LONG FRUITS,Active,,,I.L.D MANGO DASHARI I.L.D   1 ,BM66186,456
146,GRAPES FLAME RED FRUITS 2,BM9070,2063,129,2,FRESH,SOFT FRUITS,Active,,,I.L.D MANGO ASSORTED I.L.D   1 ,BM68629,29
147,GRAPES AUSTRALIA FRUITS 1,BM9071,2064,#N/A,1,FRESH,SOFT FRUITS,Inactive,,,BEGAMFELLI  (MANGO) FRUITS   10 ,BM21898,2133
148,WATERMELON LONG FRUITS 10,BM9072,2065,82,10,FRESH,LONG FRUITS,Active,,,I.L.D MANGO BOMBAY I.L.D   1 ,BM66187,789
149,WATERMELON ROUND FRUITS 10,BM9073,2066,#N/A,10,FRESH,LONG FRUITS,Inactive,,,,,
150,WATERMEON GREEN FRUITS 10,BM9074,2067,121,10,FRESH,LONG FRUITS,Active,,,,,
151,WATERMELON SLICE 1,BM9075,2068,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
152,WATERMELON HALF 1,BM9076,2069,108,1,FRESH,LONG FRUITS,Active,,,,,
153,SWEET MELON FRUITS 10,BM9078,2071,87,10,FRESH,LONG FRUITS,Active,,,,,
154,KARIMA FRUITS 1,BM9081,2074,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
155,PLUMS RED FRUITS 5,BM9083,2076,140,5,FRESH,SOFT FRUITS,Active,,,,,
156,PLUMS YELLOW FRUITS 1,BM9085,2078,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
157,PLUMS BLACK FRUITS 1,BM9086,2079,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
158,PLUMS FRUITS 1,BM9087,2080,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
159,DRAGON FRUIT FRUITS 1,BM9090,2083,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
160,RAMBUTAN FRUITS 1,BM9091,2084,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
161,AVOCADO FRUITS 3,BM9093,2086,#N/A,3,FRESH,LONG FRUITS,Inactive,,,,,
162,CHIKOO FRUITS 1,BM9094,2087,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
163,DATES FRUITS 1,BM9098,2091,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
164,AMALA FRUITS 1,BM9099,2092,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
165,BEL FRUIT FRUITS 1,BM9100,2093,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
166,CHESTNUT FRUITS 1,BM9102,2095,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
167,HALUWABED JAPAN FRUITS 1,BM9103,2096,#N/A,1,FRESH,LONG FRUITS,Inactive,,,,,
168,BAYAR FRUITS 2,BM9104,2097,#N/A,2,FRESH,LONG FRUITS,Inactive,,,,,
169,GRAPEFRUIT/BHOGATE FRUITS 5,BM9105,2098,#N/A,5,FRESH,LONG FRUITS,Inactive,,,,,
170,LIME VEGETABLES 2,BM9106,2099,23,2,FRESH,FRESH VEG,Active,,,,,
171,FRUIT SALAD BOWL FRUITS 1,BM9108,2101,111,1,FRESH,LONG FRUITS,Active,,,,,
172,MANGOSTEEN FRUITS 1,BM11610,2102,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
173,MANGO ASSORTED 1,BM12094,2103,134,1,FRESH,SOFT FRUITS,Active,,,,,
174,PEACH FRUITS 1,BM12218,2104,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
175,FARDH DATES FRUITS 1,BM12219,2105,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
176,SWEET TAMARIND 250G FRUITS 1,bm12220,2106,113,1,FRESH,LONG FRUITS,Active,,,,,
177,BABY POTATO VEGETABLES 10,BM12878,2108,72,10,FRESH,LONG FRESH VEG,Active,,,,,
178,MANGO PAKISTHANI BOX FRUITS 1,BM13327,2110,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
179,APPLE JHOLE CHAINA FRUITS 10,BM13342,2111,125,10,FRESH,LONG FRUITS,Active,,,,,
180,MUSTANG APPLE GRADED RANJEET 1,BM15402,2116,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
181,GREEN PEARS USA FRUITS 1,BM16513,2119,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
182,AVACADO NEPAL FRUITS 1,BM16724,2120,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
183,ORGANIC KIWI ORGANIC 1,BM18602,2127,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
184,APPLE FUJI THAILAND FRUITS 10,BM19859,2131,83,10,FRESH,LONG FRUITS,Active,,,,,
185,YACON GROUND APPLE/KG FRUITS KG 2,BM20918,2132,#N/A,2,FRESH,LONG FRUITS,Inactive,,,,,
186,BEGAMFELLI (MANGO) FRUITS 10,BM21898,2133,147,10,FRESH,SOFT FRUITS,Active,,,,,
187,ARBI VEGETABLES 1,BM22797,2138,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
188,JARDA MANGO FRUITS 1,BM23222,2140,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
189,TARUL VEGETABLES 0,BM29434,2144,75,0,FRESH,LONG FRESH VEG,Active,,,,,
190,ORANGE NAVELS FRUITS 5,BM29984,2145,89,5,FRESH,LONG FRUITS,Active,,,,,
191,MUDEKO ALOO (GRC) VEGETABLES 1,BM58964,2146,15,1,FRESH,FRESH VEG,Active,,,,,
192,RED HONEY MELON FRUITS 10,BM20708,2155,85,10,FRESH,LONG FRUITS,Active,,,,,
193,BARELA VEGETABLES 2,BM59150,2222,57,2,FRESH,FRESH VEG,Inactive,,,,,
194,APPLE FUJI,BM29175,2300,116,10,FRESH,LONG FRUITS,Active,,,,,
195,MANGO MALDA PREMIUM FRUITS 1,BM63138,2345,138,1,FRESH,SOFT FRUITS,Active,,,,,
196,I.L.D MANGO MALDA PREMIUM 2345,BM66198,258,106,1,FRESH,LONG FRUITS,Active,,,,,
197,I.L.D MANGO ASSORTED I.L.D 1,BM68629,29,146,1,FRESH,SOFT FRUITS,Active,,,,,
198,ONION RED/INDIAN.,BM67472,35,77,0,FRESH,LONG FRESH VEG,Active,,,,,
199,BEAN SPROUTS MAAS TUSA,BM47465,3530,#N/A,1,FRESH,FRESH VEG,Inactive,,,,,
200,MANGO CHOSA REGULAR FRUITS 1,BM58968,3999,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
201,MANGO CHOSA PREMIUM FRUITS 1,BM58967,4000,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
202,JUMLA APPLE GRADED FRUITS 1,BM58395,4444,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
203,I.L.D. MANGO BEGAMFELLI,BM68419,4455,95,1,FRESH,LONG FRUITS,Active,,,,,
204,I.L.D MANGO DASHARI I.L.D 1,BM66186,456,145,1,FRESH,SOFT FRUITS,Active,,,,,
205,Mango Kalkatti,BM66404,4567,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
206,JUMLA APPLE ASSORTED FRUITS 1,BM58396,5555,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
207,I.L.D MANDARIN,BM67637,69,91,0,FRESH,LONG FRUITS,Active,,,,,
208,I.L.D ROUND RED POTATO (D) I.L.D 1,BM30875,7,79,1,FRESH,LONG FRESH VEG,Active,,,,,
209,ARABI(D) FRUITS 1,BM20083,7061,#N/A,1,FRESH,FRESH VEG,Active,,,,,
210,RED PUMPKIN(D) FRUITS 0,BM20085,7063,#N/A,0,FRESH,LONG FRESH VEG,Inactive,,,,,
211,KARELA(D) VEGETABLES 1,BM20089,7067,63,1,FRESH,FRESH VEG,Active,,,,,
212,SWEET POTATO(D) VEGETABLES 1,BM20090,7068,76,1,FRESH,LONG FRESH VEG,Active,,,,,
213,MUSHROOM(D) VEGETABLES 1,BM20097,7075,56,1,FRESH,FRESH VEG,Inactive,,,,,
214,EGG-PLANT LONG(D) FRUITS 1,BM20098,7076,#N/A,1,FRESH,FRESH VEG,Active,,,,,
215,ROUND RED POTATO(D) VEGETABLES 0,BM20105,7083,#N/A,0,FRESH,LONG FRESH VEG,Inactive,,,,,
216,GARLIC(D) VEGETABLES 0,BM20124,7102,#N/A,0,FRESH,LONG FRESH VEG,Inactive,,,,,
217,GINGER(D) FRUITS 1,BM20125,7103,#N/A,1,FRESH,FRESH VEG,Active,,,,,
218,POTATO RED (BIG) VEGETABLES 10,BM20136,7116,74,10,FRESH,LONG FRESH VEG,Active,,,,,
219,PEPINO MELON VEGETABLES 1,BM60461,7777,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
220,I.L.D MANGO BOMBAY I.L.D 1,BM66187,789,148,1,FRESH,SOFT FRUITS,Active,,,,,
221,I.L.D. APPLE CHINA I.L.D 1,BM52192,8,109,1,FRESH,LONG FRUITS,Active,,,,,
222,Mustang apple Graded,BM63989,8000,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
223,APPLE GALA MANANG FRUITS 10,BM20138,8005,#N/A,10,FRESH,LONG FRUITS,Inactive,,,,,
224,SAGAR KAJU KHAJOOR 500G VEGETABLES 1,BM20139,8006,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
225,CHERRY KASHMIRI(D) FRUITS 1,BM20143,8010,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
226,SWEET MELON(D) FRUITS 1,BM20149,8016,112,1,FRESH,LONG FRUITS,Active,,,,,
227,WATERMELON SLICE(D) FRUITS 1,BM20152,8019,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
228,GRAPES FLAME RED(D) FRUITS 1,BM20154,8021,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
229,KESHARI MANGO FRUITS 1,BM20156,8023,142,1,FRESH,SOFT FRUITS,Active,,,,,
230,PAPAYA NEPAL(D) FRUITS 1,BM20161,8028,100,1,FRESH,LONG FRUITS,Active,,,,,
231,ORANGE INDIA FRUITS 1,BM20163,8030,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
232,ORANGE NEPAL FRUITS 1,BM20164,8031,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
233,KIWI AUSTRALIA(D) FRUITS 1,BM20167,8034,88,1,FRESH,LONG FRUITS,Active,,,,,
234,KIWI FRUIT NEPAL(D) FRUITS 1,BM20168,8035,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
235,CUSTARD APPLE/SARIFA/SITAFAL(D) FRUITS 1,BM20174,8041,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
236,GUAVA AUSTRALIA(D) FRUITS 1,BM20175,8042,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
237,GUAVA INDIA(D) FRUITS 1,BM20176,8043,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
238,PEARS JAPAN(D) FRUITS 1,BM20181,8048,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
239,POMEGRANATE RED(D) FRUITS 1,BM20183,8050,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
240,APPLE NEPAL(D) FRUITS 1,BM20187,8054,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
241,GRAPES GREEN(D) FRUITS 1,BM20189,8056,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
242,LIME(D) FRUITS 1,BM20192,8059,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
243,COCONUT WATER(D) FRUITS 1,BM20196,8063,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
244,DATES FRUITS 1,BM20202,8069,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
245,HALUWABED JAPAN(D) FRUITS 1,BM20204,8071,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
246,APPLE GOLDEN MANANG FRUITS 10,BM20206,8073,114,10,FRESH,LONG FRUITS,Active,,,,,
247,RAMBUTAN(D) FRUITS 1,BM20209,8076,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
248,MANGO MALDA(D) FRUITS 1,BM20210,8077,131,1,FRESH,SOFT FRUITS,Active,,,,,
249,MANGO PAKISTHANI BOX FRUITS 1,BM20211,8078,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
250,FRUIT SALAD BOWL(D) FRUITS 1,BM20213,8080,99,1,FRESH,LONG FRUITS,Active,,,,,
251,APPLE CHINA(D) FRUITS 1,BM20223,8090,101,1,FRESH,LONG FRUITS,Active,,,,,
252,FRUITS 1,BM20224,8091,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
253,KIWI NEWZEALAND(D) FRUITS 1,BM20227,8094,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
254,MANGO BOMBAY FRUITS 1,BM20229,8096,133,1,FRESH,SOFT FRUITS,Active,,,,,
255,SWEET TAMARIND 250G(D) FRUITS 1,BM20231,8098,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
256,APPLE CHOCOLATE(D) FRUITS 1,BM20234,8101,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
257,GRAPES BLACK(D) FRUITS 0,BM20235,8102,#N/A,0,FRESH,SOFT FRUITS,Inactive,,,,,
258,WATERMELON ROUND(D) FRUITS 1,BM20237,8104,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
259,MANGO DASHARI FRUITS 1,BM20238,8105XX,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
260,APPLE(D) FRUITS 1,BM20240,8107,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
261,APPLE RED(D) FRUITS 1,BM20241,8108,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
262,GRAPEFRUIT/BHOGATE(D) FRUITS 1,BM20242,8109,#N/A,1,FRESH,LONG FRUITS,Inactive,,,,,
263,GUAVA (D) FRUITS 1,BM23417,8112,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
264,POTATO RED REGULAR (GRC) VEG KG 1,BM61544,8114,71,1,FRESH,LONG FRESH VEG,Active,,,,,
265,GREEN PEARS USA(D) FRUITS 1,BM20759,8122,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
266,APRICOTS SAFA TURKEL FRUITS 200G 1,BM11509,8123,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
267,EVEREST MUSHROOM WESTERN 200G EVEREST 200G 1,BM12720,8129,#N/A,1,FRESH,FRESH VEG,Active,,,,,
268,NIGRO/FRENCH SHOOT ORGANIC 1,BM13364,8140,103,1,FRESH,LONG FRUITS,Active,,,,,
269,ORGANIC BAKULLA ORGANIC 1,BM18256,8141,#N/A,1,FRESH,FRESH VEG,Active,,,,,
270,POTATO RED REGULAR (DHARNI) VEGETABLES 1,BM17981,8173,73,1,FRESH,LONG FRESH VEG,Active,,,,,
271,CABBAGE RED VEGETABLES 5,BM47325,8175,43,5,FRESH,FRESH VEG,Inactive,,,,,
272,KIWI FRUIT (CHILE) FRUITS 1,BM47338,8178,110,1,FRESH,LONG FRUITS,Active,,,,,
273,HG ORGANIC BROCAULI HIMALAYAN GARDEN 1,BM54220,8185,#N/A,1,FRESH,FRESH VEG,Active,,,,,
274,HG ORGANIC GREEN PEAS HIMALAYAN GARDEN 1,BM54238,8203,#N/A,1,FRESH,FRESH VEG,Active,,,,,
275,Black berry FRUITS 1,BM66169,8910,#N/A,1,FRESH,LONG FRUITS,Active,,,,,
276,I.L.D. APPLE CHOCOLATE I.L.D 1,BM30451,9,98,1,FRESH,LONG FRUITS,Active,,,,,
277,I.L.D. ORANGE I.L.D 0,BM67488,95,92,0,FRESH,LONG FRUITS,Active,,,,,
